Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,122.323135,123.977058,122.045891,122.925430,111.506767,5859587
2021-01-12,123.413002,124.139580,122.313576,123.527725,112.053123,3921663
2021-01-13,123.470360,124.043976,120.898659,121.338432,110.067184,8030874
2021-01-14,122.390060,124.435944,121.940727,123.298279,111.844971,7848347
2021-01-15,122.638626,123.556404,122.055450,122.743790,111.341995,5131153
2021-01-19,123.594643,123.891014,122.456978,123.346077,111.888351,5646308
2021-01-20,123.996178,125.296364,122.906311,124.359467,112.807594,5856240
2021-01-21,124.397705,126.424477,124.330788,125.860420,114.169128,13116003
2021-01-22,115.391968,115.391968,112.198853,113.393883,102.860611,39814421
2021-01-25,113.537285,114.282982,112.284897,113.365204,102.834595,14315974
2021-01-26,113.938812,117.198853,113.212234,117.103249,106.225418,11186656
2021-01-27,116.711281,119.302101,116.271507,117.084129,106.208084,12705239
2021-01-28,117.399620,117.782028,114.789673,114.799232,104.135406,8455969
2021-01-29,114.933075,115.965584,113.671127,113.871895,103.294212,12369473
2021-02-01,114.627151,115.630974,113.508606,115.239006,104.534348,6538023
2021-02-02,114.110901,115.678780,114.034416,114.187378,103.580391,6633627
2021-02-03,113.804970,114.531548,112.925430,113.881454,103.302902,7024308
2021-02-04,114.636711,115.774376,113.642448,115.697899,104.950607,4771957
2021-02-05,115.678780,116.453156,115.219887,116.434036,105.618362,4775722
2021-02-08,117.227531,118.527725,117.017204,118.173996,107.196701,6158848
2021-02-09,116.539200,117.208412,115.726578,116.730400,107.302162,4933982
2021-02-10,117.619499,117.982796,115.879539,116.864243,107.425179,5090673
2021-02-11,116.634796,116.835564,115.325050,115.592735,106.256371,5629154
2021-02-12,115.678780,116.022942,114.808792,115.487572,106.159714,4049275
2021-02-16,114.866158,115.296364,114.110901,114.789673,105.518181,6945231
2021-02-17,114.024857,115.258125,113.785851,114.694077,105.430298,4141219
2021-02-18,115.200768,115.621414,114.435944,115.420647,106.098190,5646413
2021-02-19,115.439774,115.449333,113.173996,113.757172,104.569069,6881320
2021-02-22,113.288719,115.803062,113.231361,115.544930,106.212425,6149643
2021-02-23,115.602295,116.013382,114.531548,115.401527,106.080612,4739740
2021-02-24,115.487572,118.059273,115.219887,117.791588,108.277634,6087720
2021-02-25,117.944550,118.881454,116.959846,117.084129,107.627319,5953623
2021-02-26,116.873802,116.873802,113.652008,113.699806,104.516327,9467346
2021-03-01,115.057358,116.940727,114.588913,115.430206,106.106972,5977367
2021-03-02,115.430206,116.539200,114.971321,115.038239,105.746666,4732418
2021-03-03,115.200768,117.237091,114.703636,116.978966,107.530640,7744898
2021-03-04,116.634796,117.801147,113.537285,114.827919,105.553337,8439651
2021-03-05,115.334610,118.307838,114.961761,117.428299,107.943687,7268968
2021-03-08,117.581261,121.271507,117.476097,119.321220,109.683723,7572203
2021-03-09,119.885277,120.869980,118.699806,118.718925,109.130066,5867014
2021-03-10,119.550667,122.600380,119.130020,122.246651,112.372856,7581199
2021-03-11,122.456978,122.982796,121.204590,121.548759,111.731339,5383657
2021-03-12,121.596558,122.065010,121.042068,121.998085,112.144363,4194565
2021-03-15,122.151054,123.087952,121.931168,122.925430,112.996819,3577948
2021-03-16,122.638626,122.868073,121.739960,122.600380,112.698013,4867247
2021-03-17,122.810707,123.795410,121.883362,123.355644,113.392281,4488804
2021-03-18,123.269600,125.239006,122.170174,124.340347,114.297455,6104142
2021-03-19,124.302101,124.703636,122.877632,123.231361,113.278030,10297870
2021-03-22,122.848946,124.971321,122.265778,124.808792,114.728050,4356485
2021-03-23,124.703636,125.774376,124.091782,124.722755,114.648972,4556794
2021-03-24,125.191208,126.300194,124.827919,124.875717,114.789574,4189230
2021-03-25,124.598473,127.380501,124.063095,127.217972,116.942657,5809484
2021-03-26,127.428299,130.478012,127.265778,130.382416,119.851501,5823710
2021-03-29,130.000000,131.042068,129.550674,129.885284,119.394524,4835344
2021-03-30,129.885284,130.277252,128.126190,128.795410,118.392685,5010758
2021-03-31,128.623322,128.785858,126.873802,127.399620,117.109634,5172575
2021-04-01,127.877632,128.040146,126.453156,127.370934,117.083260,4261404
2021-04-05,127.762909,130.678772,127.533463,129.952194,119.456024,5722980
2021-04-06,129.617584,129.674957,128.193115,128.317398,117.953262,3787566
2021-04-07,127.954109,129.005737,127.896751,128.996170,118.577225,3112896
2021-04-08,128.652008,129.665390,128.260040,129.177826,118.744209,4275211
2021-04-09,128.938812,129.770554,128.785858,129.761002,119.280281,3162999
2021-04-12,129.082214,129.416824,127.963669,128.671127,118.278435,3926684
2021-04-13,127.151054,127.743790,124.646271,125.411087,115.281723,8403041
2021-04-14,125.535370,126.940727,124.780113,126.797325,116.555977,6137928
2021-04-15,127.418739,127.982796,126.405357,126.749519,116.512047,4062664
2021-04-16,127.151054,128.202682,127.103249,127.715103,117.399628,5535223
2021-04-19,127.724663,127.934990,126.749519,127.265778,116.986588,8575736
2021-04-20,131.042068,133.623322,130.688339,132.084137,121.415771,16192708
2021-04-21,131.988525,137.409180,131.653915,137.237091,126.152519,12456814
2021-04-22,137.380493,138.374756,134.799240,135.066925,124.157646,7428064
2021-04-23,135.095596,137.294449,134.751434,136.166351,125.168266,4765576
2021-04-26,136.156784,137.313583,135.258133,135.344162,124.412498,4927497
2021-04-27,135.458893,136.290634,134.560226,135.764816,124.799171,4062664
2021-04-28,136.634796,137.093689,135.850861,136.711288,125.669212,3941433
2021-04-29,137.791580,142.198853,136.692154,137.896744,126.758896,4554179
2021-04-30,137.380493,137.504776,134.369019,135.640533,124.684929,9280321
2021-05-03,137.485657,139.340347,137.237091,138.384323,127.207092,5997241
2021-05-04,138.059280,140.143402,137.982788,139.340347,128.085922,6642623
2021-05-05,139.521988,139.521988,138.594650,138.833649,127.620125,5229895
2021-05-06,138.871887,141.978973,138.795410,141.892929,130.432327,7848661
2021-05-07,139.502869,139.713196,138.212234,139.063095,129.259338,7325661
2021-05-10,139.388138,141.854691,139.388138,139.741867,129.890259,7304636
2021-05-11,138.613770,138.804977,136.615677,137.877625,128.157425,7454214
2021-05-12,137.514343,137.810699,134.933075,135.086044,125.562668,6233742
2021-05-13,135.229446,138.527725,135.066925,137.829834,128.113022,4807207
2021-05-14,138.728485,139.282990,137.629059,138.317398,128.566208,2873780
2021-05-17,138.087952,139.388138,137.982788,138.728485,128.948318,4471755
2021-05-18,138.412994,138.910141,136.931168,137.581268,127.881966,4000009
2021-05-19,136.061188,136.902481,134.722748,136.892929,127.242157,4498532
2021-05-20,136.826004,138.537292,135.908218,137.552582,127.855309,4301675
2021-05-21,137.934998,139.292542,137.934998,138.374756,128.619522,4219041
2021-05-24,138.680695,138.996170,137.839386,138.355637,128.601746,3449290
2021-05-25,138.546844,138.623322,136.902481,137.466537,127.775330,4118311
2021-05-26,137.189301,137.657745,136.749527,137.074570,127.411003,3225655
2021-05-27,137.495224,138.403442,137.313583,137.495224,127.801994,5889294
2021-05-28,137.868073,137.982788,137.179733,137.418732,127.730904,2651192
2021-06-01,138.623322,139.416824,137.428299,137.848953,128.130783,2528705
2021-06-02,138.260040,139.340347,137.772461,139.311661,129.490387,2915097
2021-06-03,138.537292,139.464630,137.705551,139.149139,129.339294,4320608
2021-06-04,139.579346,141.061188,139.349899,140.936905,131.001022,3261323
2021-06-07,141.061188,142.198853,140.697891,141.510513,131.534210,3621984
2021-06-08,141.606125,143.594650,141.606125,142.514343,132.467270,5313785
2021-06-09,142.476105,144.426392,142.275330,144.043976,133.889084,5547252
2021-06-10,144.808792,146.118546,143.173996,143.919693,133.773544,4977391
2021-06-11,143.814529,145.172089,143.757172,144.627151,134.431122,3596462
2021-06-14,144.082214,144.388138,142.122375,143.432129,133.320358,3498661
2021-06-15,143.260040,143.317398,142.065002,142.791580,132.724976,2628912
2021-06-16,143.173996,143.173996,140.745697,141.328873,131.365372,4057329
2021-06-17,141.061188,141.548752,138.891006,139.196945,129.383743,4568300
2021-06-18,138.126190,138.317398,136.749527,136.826004,127.179962,9577699
2021-06-21,137.772461,140.602295,137.724670,140.200760,130.316803,4482633
2021-06-22,140.076477,140.353729,138.957932,139.923523,130.059097,2549102
2021-06-23,139.990433,140.057358,138.212234,138.250473,128.504013,3349920
2021-06-24,139.388138,139.761002,138.326965,139.043976,129.241577,3775746
2021-06-25,138.986618,140.468445,138.575531,140.382416,130.485657,3759533
2021-06-28,140.544937,140.822174,138.537292,138.900574,129.108276,4067789
2021-06-29,138.871887,140.286804,138.718933,139.149139,129.339294,2540211
2021-06-30,138.747604,140.468445,138.346085,140.143402,130.263474,3394375
2021-07-01,140.497131,141.013382,140.124283,140.382416,130.485657,2809661
2021-07-02,140.449326,140.487579,133.326965,133.862335,124.425232,17584515
2021-07-06,133.833649,134.244736,131.070740,132.676865,123.323318,8466010
2021-07-07,132.657745,134.158707,132.657745,133.671127,124.247498,4246446
2021-07-08,131.720840,135.095596,131.606125,134.550674,125.065025,5739820
2021-07-09,135.229446,135.736145,134.646271,135.296371,125.758163,4083689
2021-07-12,135.210327,135.717010,133.957932,134.722748,125.224968,3496360
2021-07-13,134.722748,134.722748,133.489487,134.110901,124.656265,3309858
2021-07-14,134.531555,134.560226,132.820267,133.671127,124.247498,4606061
2021-07-15,133.193115,134.282990,132.695984,134.273422,124.807320,3807126
2021-07-16,134.799240,134.799240,132.495224,132.791580,123.429962,4298328
2021-07-19,130.449326,132.399612,130.219879,131.854691,122.559113,8977086
2021-07-20,136.711288,138.546844,132.600388,133.814529,124.380775,14237838
2021-07-21,133.814529,135.172089,133.508606,135.086044,125.562668,5024984
2021-07-22,135.430206,135.573608,134.235184,134.521988,125.038361,3466653
2021-07-23,134.761002,135.468445,134.158707,135.124283,125.598206,4680013
2021-07-26,135.172089,136.711288,134.923523,136.491394,126.868935,4441630
2021-07-27,136.261948,137.323135,135.372849,136.472275,126.851151,3281302
2021-07-28,136.720840,136.806885,135.411087,135.535370,125.980309,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,126.122513,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,125.260521,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,125.669304,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,128.024139,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,126.860054,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,126.868935,2884240
2021-08-06,136.711288,138.040146,136.606125,137.753342,128.041931,4002833
2021-08-09,135.946457,136.233276,134.770554,135.038239,126.963295,5129689
2021-08-10,135.000000,135.573608,134.168259,135.162521,127.080154,5543695
2021-08-11,135.544937,136.491394,135.277252,135.879547,127.754295,4455960
2021-08-12,136.003830,136.854691,135.831741,136.778198,128.599213,2184780
2021-08-13,136.367111,137.265778,136.175903,136.883362,128.698090,1997965
2021-08-16,136.931168,137.418732,135.975143,137.275330,129.066620,2913319
2021-08-17,136.711288,136.864243,134.885284,136.156784,128.014954,3215195
2021-08-18,135.439774,135.678772,133.260040,133.336517,125.363350,3672192
2021-08-19,132.590820,133.317398,131.175903,131.950287,124.059998,4351465
2021-08-20,131.682602,133.250473,131.233276,132.992355,125.039764,2780059
2021-08-23,133.479919,133.986618,132.695984,133.479919,125.498161,3179422
2021-08-24,133.632889,134.063095,133.193115,133.690247,125.695908,2474418
2021-08-25,133.766724,134.608032,133.326965,133.709366,125.713875,2105389
2021-08-26,133.814529,134.608032,132.609940,132.676865,124.743118,2613640
2021-08-27,132.609940,133.451248,132.313583,133.279160,125.309395,2572637
2021-08-30,133.365204,133.728485,132.715103,132.858505,124.913895,2087293
2021-08-31,133.403442,134.741867,132.839386,134.168259,126.145348,4429915
2021-09-01,133.824097,133.910141,133.068832,133.173996,125.210518,2588327
2021-09-02,133.575531,133.891006,132.915863,133.852768,125.848709,2840413
2021-09-03,133.537292,134.292542,133.173996,133.441681,125.462212,2009575
2021-09-07,133.508606,133.642441,131.701721,131.988525,124.095947,3436110
2021-09-08,132.065002,132.973236,131.548752,132.571701,124.644249,3122728
2021-09-09,131.787766,132.848953,131.510513,131.682602,123.808319,3669682
2021-09-10,132.715103,133.240921,130.975143,130.994263,123.161140,4157955
2021-09-13,132.313583,132.877625,131.462708,132.074570,124.176842,4334729
2021-09-14,132.313583,132.476105,129.388138,130.229446,122.442055,4659198
2021-09-15,130.229446,131.739960,129.703629,131.166351,123.322937,3403579
2021-09-16,131.242828,131.883362,129.741867,130.430206,122.630814,2765624
2021-09-17,129.780121,129.942642,129.110901,129.282990,121.552200,5890340
2021-09-20,128.011475,129.235184,126.940727,128.403442,120.725250,4990152
2021-09-21,129.168259,129.684509,127.093689,127.122368,119.520782,4261927
2021-09-22,127.839386,129.416824,127.600380,128.709366,121.012878,3767901
2021-09-23,129.302109,131.376678,129.091782,130.717010,122.900459,3151807
2021-09-24,131.003830,132.390060,130.736145,131.443588,123.583588,3100762
2021-09-27,131.892929,132.954117,131.434036,132.466537,124.545380,3459017
2021-09-28,133.049713,133.546844,131.175903,131.424469,123.565628,4513072
2021-09-29,131.673035,133.776291,130.439774,133.059280,125.102684,3947499
2021-09-30,133.843216,134.388138,132.409180,132.820267,124.877953,6090230
2021-10-01,134.799240,137.638626,134.196945,137.017212,128.823929,6907889
2021-10-04,136.462708,139.579346,136.089859,137.772461,129.533997,7689251
2021-10-05,138.384323,138.623322,136.367111,136.854691,128.671127,7297524
2021-10-06,136.214142,137.065002,134.694077,136.099426,127.961021,5573506
2021-10-07,136.453156,137.093689,135.305923,135.573608,127.466660,3999695
2021-10-08,135.573608,137.332703,134.847031,136.921600,128.734039,3902940
2021-10-11,137.189301,137.743790,136.137665,136.166351,128.023941,2921792
2021-10-12,135.956024,136.042068,134.130020,134.292542,126.262192,3293436
2021-10-13,134.340347,135.191208,133.518158,134.569794,126.522858,3013003
2021-10-14,134.837479,137.590820,134.808792,137.084137,128.886841,4410668
2021-10-15,137.084137,138.479919,136.510513,138.250473,129.983459,3371049
2021-10-18,137.667297,138.565964,135.525818,136.061188,127.925072,6437189
2021-10-19,134.875717,136.653915,134.340347,135.736145,127.619469,4539117
2021-10-20,135.449326,135.946457,134.512421,135.659653,127.547562,6474008
2021-10-21,127.638626,127.839386,122.466537,122.686424,115.350082,32913959
2021-10-22,122.418739,124.521988,121.042068,122.256210,114.945602,12114981
2021-10-25,121.921608,122.992355,121.357552,122.026772,114.729881,6667204
2021-10-26,121.912048,122.657745,121.185471,121.539200,114.271461,8912861
2021-10-27,121.835564,122.256210,119.512428,119.665390,112.509705,7294176
2021-10-28,119.665390,120.755257,119.139580,120.305923,113.111938,6802138
2021-10-29,119.913956,120.764816,119.416824,119.598473,112.446785,6188973
2021-11-01,119.550667,120.755257,118.393883,120.726578,113.507439,6177153
2021-11-02,120.745697,121.577438,119.416824,120.630974,113.417549,4722062
2021-11-03,120.678780,121.692162,120.152962,121.539200,114.271461,5670784
2021-11-04,123.050003,123.339996,119.900002,120.849998,113.623474,7208700
2021-11-05,121.430000,123.769997,121.430000,123.610001,116.218430,6790500
2021-11-08,123.989998,124.779999,123.529999,124.540001,117.092819,5625300
2021-11-09,122.559998,122.900002,120.260002,120.849998,115.139694,7236600
2021-11-10,121.000000,122.430000,119.930000,120.220001,114.539459,6270300
2021-11-11,120.900002,121.790001,120.080002,120.269997,114.587097,4643300
2021-11-12,120.000000,120.639999,118.779999,118.959999,113.338989,5418300
2021-11-15,119.540001,120.160004,118.309998,118.870003,113.253250,5046300
2021-11-16,118.919998,119.900002,118.419998,118.459999,112.862617,4750800
2021-11-17,118.379997,119.330002,117.779999,118.059998,112.481522,4043300
2021-11-18,118.360001,118.360001,116.309998,116.660004,111.147675,5046900
2021-11-19,116.489998,116.559998,115.269997,116.050003,110.566505,5380200
2021-11-22,116.000000,118.809998,115.190002,116.470001,110.966652,6416200
2021-11-23,116.790001,117.940002,116.040001,116.790001,111.271538,4912800
